experiment_id,method_id,method_label,seed,dataset,split,class_index,class_angle,n,precision,recall,f1,source_file,notes
A4b-5,candidate_only,candidate_only,44,Alpha_100,val,2,45.0,352,0.7038961038961039,0.7698863636363636,0.7354138398914519,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,val,3,60.0,155,0.6304347826086957,0.5612903225806452,0.5938566552901025,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,test,0,15.0,351,0.6557017543859649,0.8518518518518519,0.7410161090458488,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,test,1,30.0,145,0.5192307692307693,0.18620689655172415,0.27411167512690354,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,test,2,45.0,354,0.7554945054945055,0.7768361581920904,0.766016713091922,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,44,Alpha_100,test,3,60.0,156,0.7014925373134329,0.6025641025641025,0.6482758620689655,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,44,Alpha_100,val,0,15.0,350,0.7244655581947743,0.8714285714285714,0.7911802853437095,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,44,Alpha_100,val,1,30.0,144,0.7627118644067796,0.3125,0.44334975369458124,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,44,Alpha_100,val,2,45.0,352,0.7951482479784366,0.8380681818181818,0.8160442600276626,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,44,Alpha_100,val,3,60.0,155,0.7333333333333333,0.7096774193548387,0.7213114754098361,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,44,Alpha_100,test,0,15.0,351,0.7378190255220418,0.905982905982906,0.813299232736573,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,44,Alpha_100,test,1,30.0,145,0.86,0.296551724137931,0.441025641025641,outputs/a4b_5_gated_late_fusion_seed44_by_class.csv,A4b prediction-level fusion per-class result
